Name,URL,State,District,Party,Terms
"Representative Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Hawaii,1,Democratic,"House: 1985-1987, 1991-2011"
"Representative Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,"New York",5,Democratic,"House: 1983-2013"
"Representative Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Alabama,4,Republican,"House: 1997-Present"
"Senator Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Hawaii,,Democratic,"Senate: 1990-2013 | House: 1977-1991"
"Representative Akin, W. Todd",https://www.congress.gov/member/w-akin/A000358,Missouri,2,Republican,"House: 2001-2013"
"Senator Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Tennessee,,Republican,"Senate: 2003-Present"
"Representative Alexander, Rodney",https://www.congress.gov/member/rodney-alexander/A000361,Louisiana,5,Republican,"House: 2003-2013"
"Senator Allard, Wayne",https://www.congress.gov/member/a-allard/A000109,Colorado,,Republican,"Senate: 1997-2009 | House: 1991-1997"
"Representative Allen, Thomas H.",https://www.congress.gov/member/thomas-allen/A000357,Maine,1,Democratic,"House: 1997-2009"
"Representative Altmire, Jason",https://www.congress.gov/member/jason-altmire/A000362,Pennsylvania,4,Democratic,"House: 2007-2013"
"Representative Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,"New Jersey",1,Democratic,"House: 1989-2014"
"Representative Arcuri, Michael A.",https://www.congress.gov/member/michael-arcuri/A000363,"New York",24,Democratic,"House: 2007-2011"
"Representative Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,California,43,Democratic,"House: 1999-2013"
"Representative Bachmann, Michele",https://www.congress.gov/member/michele-bachmann/B001256,Minnesota,6,Republican,"House: 2007-2015"
"Representative Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Alabama,6,Republican,"House: 1993-2015"
"Representative Baird, Brian",https://www.congress.gov/member/brian-baird/B001229,Washington,3,Democratic,"House: 1999-2011"
"Representative Baker, Richard H.",https://www.congress.gov/member/richard-baker/B000072,Louisiana,6,Republican,"House: 1987-2008"
"Senator Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,,Democratic,"Senate: 2013-Present | House: 1999-2013"
"Senator Barrasso, John",https://www.congress.gov/member/john-barrasso/B001261,Wyoming,,Republican,"Senate: 2007-Present"
"Representative Barrett, J. Gresham",https://www.congress.gov/member/j-barrett/B001239,"South Carolina",3,Republican,"House: 2003-2011"
"Representative Barrow, John",https://www.congress.gov/member/john-barrow/B001252,Georgia,12,Democratic,"House: 2005-2015"
"Representative Bartlett, Roscoe G.",https://www.congress.gov/member/roscoe-bartlett/B000208,Maryland,6,Republican,"House: 1993-2013"
"Representative Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Texas,6,Republican,"House: 1985-2019"
"Senator Baucus, Max",https://www.congress.gov/member/max-baucus/B000243,Montana,,Democratic,"Senate: 1979-2014 | House: 1975-1979"
"Senator Bayh, Evan",https://www.congress.gov/member/evan-bayh/B001233,Indiana,,Democratic,"Senate: 1999-2011"
"Representative Bean, Melissa L.",https://www.congress.gov/member/melissa-bean/B001253,Illinois,8,Democratic,"House: 2005-2011"
