Name,URL,State,District,Party,Terms
"Representative Abraham, Ralph Lee",https://www.congress.gov/member/ralph-abraham/A000374,Louisiana,5,Republican,"House: 2015-Present"
"Representative Adams, Alma S.",https://www.congress.gov/member/alma-adams/A000370,"North Carolina",12,Democratic,"House: 2014-Present"
"Representative Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Alabama,4,Republican,"House: 1997-Present"
"Representative Aguilar, Pete",https://www.congress.gov/member/pete-aguilar/A000371,California,31,Democratic,"House: 2015-Present"
"Senator Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Tennessee,,Republican,"Senate: 2003-Present"
"Representative Allen, Rick W.",https://www.congress.gov/member/rick-allen/A000372,Georgia,12,Republican,"House: 2015-Present"
"Representative Amash, Justin",https://www.congress.gov/member/justin-amash/A000367,Michigan,3,Independent,"House: 2011-Present"
"Representative Amodei, Mark E.",https://www.congress.gov/member/mark-amodei/A000369,Nevada,2,Republican,"House: 2011-Present"
"Representative Ashford, Brad",https://www.congress.gov/member/brad-ashford/A000373,Nebraska,2,Democratic,"House: 2015-2017"
"Senator Ayotte, Kelly",https://www.congress.gov/member/kelly-ayotte/A000368,"New Hampshire",,Republican,"Senate: 2011-2017"
"Representative Babin, Brian",https://www.congress.gov/member/brian-babin/B001291,Texas,36,Republican,"House: 2015-Present"
"Senator Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,,Democratic,"Senate: 2013-Present | House: 1999-2013"
"Representative Barletta, Lou",https://www.congress.gov/member/lou-barletta/B001269,Pennsylvania,11,Republican,"House: 2011-2019"
"Representative Barr, Andy",https://www.congress.gov/member/andy-barr/B001282,Kentucky,6,Republican,"House: 2013-Present"
"Senator Barrasso, John",https://www.congress.gov/member/john-barrasso/B001261,Wyoming,,Republican,"Senate: 2007-Present"
"Representative Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Texas,6,Republican,"House: 1985-2019"
"Representative Bass, Karen",https://www.congress.gov/member/karen-bass/B001270,California,37,Democratic,"House: 2011-Present"
"Representative Beatty, Joyce",https://www.congress.gov/member/joyce-beatty/B001281,Ohio,3,Democratic,"House: 2013-Present"
"Representative Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,California,34,Democratic,"House: 1993-2017"
"Representative Benishek, Dan",https://www.congress.gov/member/dan-benishek/B001271,Michigan,1,Republican,"House: 2011-2017"
"Senator Bennet, Michael F.",https://www.congress.gov/member/michael-bennet/B001267,Colorado,,Democratic,"Senate: 2009-Present"
"Representative Bera, Ami",https://www.congress.gov/member/ami-bera/B001287,California,7,Democratic,"House: 2013-Present"
"Representative Beyer, Donald S., Jr.",https://www.congress.gov/member/donald-beyer/B001292,Virginia,8,Democratic,"House: 2015-Present"
"Representative Bilirakis, Gus M.",https://www.congress.gov/member/gus-bilirakis/B001257,Florida,12,Republican,"House: 2007-Present"
"Representative Bishop, Mike",https://www.congress.gov/member/mike-bishop/B001293,Michigan,8,Republican,"House: 2015-2019"
"Representative Bishop, Rob",https://www.congress.gov/member/rob-bishop/B001250,Utah,1,Republican,"House: 2003-Present"
"Representative Bishop, Sanford D., Jr.",https://www.congress.gov/member/sanford-bishop/B000490,Georgia,2,Democratic,"House: 1993-Present"
"Representative Black, Diane",https://www.congress.gov/member/diane-black/B001273,Tennessee,6,Republican,"House: 2011-2019"
"Senator Blackburn, Marsha",https://www.congress.gov/member/marsha-blackburn/B001243,Tennessee,,Republican,"Senate: 2019-Present | House: 2003-2019"
"Representative Blum, Rod",https://www.congress.gov/member/rod-blum/B001294,Iowa,1,Republican,"House: 2015-2019"
"Representative Blumenauer, Earl",https://www.congress.gov/member/earl-blumenauer/B000574,Oregon,3,Democratic,"House: 1995-Present"
"Senator Blumenthal, Richard",https://www.congress.gov/member/richard-blumenthal/B001277,Connecticut,,Democratic,"Senate: 2011-Present"
"Senator Blunt, Roy",https://www.congress.gov/member/roy-blunt/B000575,Missouri,,Republican,"Senate: 2011-Present | House: 1997-2011"
"Representative Boehner, John A.",https://www.congress.gov/member/john-boehner/B000589,Ohio,8,Republican,"House: 1991-2015"
"Representative Bonamici, Suzanne",https://www.congress.gov/member/suzanne-bonamici/B001278,Oregon,1,Democratic,"House: 2012-Present"
"Senator Booker, Cory A.",https://www.congress.gov/member/cory-booker/B001288,"New Jersey",,Democratic,"Senate: 2013-Present"
"Senator Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Arkansas,,Republican,"Senate: 2011-Present | House: 2001-2011"
"Representative Bordallo, Madeleine Z.",https://www.congress.gov/member/madeleine-bordallo/B001245,Guam,,Democratic,"House: 2003-2019"
"Representative Bost, Mike",https://www.congress.gov/member/mike-bost/B001295,Illinois,12,Republican,"House: 2015-Present"
"Representative Boustany, Charles W., Jr.",https://www.congress.gov/member/charles-boustany/B001255,Louisiana,3,Republican,"House: 2005-2017"
"Senator Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,,Democratic,"Senate: 1993-2017 | House: 1983-1993"
"Representative Boyle, Brendan F.",https://www.congress.gov/member/brendan-boyle/B001296,Pennsylvania,2,Democratic,"House: 2015-Present"
"Representative Brady, Kevin",https://www.congress.gov/member/kevin-brady/B000755,Texas,8,Republican,"House: 1997-Present"
"Representative Brady, Robert A.",https://www.congress.gov/member/robert-brady/B001227,Pennsylvania,1,Democratic,"House: 1997-2019"
"Representative Brat, Dave",https://www.congress.gov/member/dave-brat/B001290,Virginia,7,Republican,"House: 2014-2019"
"Representative Bridenstine, Jim",https://www.congress.gov/member/jim-bridenstine/B001283,Oklahoma,1,Republican,"House: 2013-2018"
"Representative Brooks, Mo",https://www.congress.gov/member/mo-brooks/B001274,Alabama,5,Republican,"House: 2011-Present"
"Representative Brooks, Susan W.",https://www.congress.gov/member/susan-brooks/B001284,Indiana,5,Republican,"House: 2013-Present"
"Representative Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Florida,5,Democratic,"House: 1993-2017"
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,,Democratic,"Senate: 2007-Present | House: 1993-2007"
"Representative Brownley, Julia",https://www.congress.gov/member/julia-brownley/B001285,California,26,Democratic,"House: 2013-Present"
"Representative Buchanan, Vern",https://www.congress.gov/member/vern-buchanan/B001260,Florida,16,Republican,"House: 2007-Present"
"Representative Buck, Ken",https://www.congress.gov/member/ken-buck/B001297,Colorado,4,Republican,"House: 2015-Present"
"Representative Bucshon, Larry",https://www.congress.gov/member/larry-bucshon/B001275,Indiana,8,Republican,"House: 2011-Present"
"Representative Burgess, Michael C.",https://www.congress.gov/member/michael-burgess/B001248,Texas,26,Republican,"House: 2003-Present"
"Senator Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,"North Carolina",,Republican,"Senate: 2005-Present | House: 1995-2005"
"Representative Bustos, Cheri",https://www.congress.gov/member/cheri-bustos/B001286,Illinois,17,Democratic,"House: 2013-Present"
"Representative Butterfield, G. K.",https://www.congress.gov/member/g-k-butterfield/B001251,"North Carolina",1,Democratic,"House: 2004-Present"
"Representative Byrne, Bradley",https://www.congress.gov/member/bradley-byrne/B001289,Alabama,1,Republican,"House: 2014-Present"
"Representative Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,California,42,Republican,"House: 1993-Present"
"Senator Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,,Democratic,"Senate: 2001-Present | House: 1993-1995"
"Senator Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,"West Virginia",,Republican,"Senate: 2015-Present | House: 2001-2015"
"Representative Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,California,24,Democratic,"House: 1997-2017"
"Representative Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Massachusetts,7,Democratic,"House: 1999-2019"
"Representative Cardenas, Tony",https://www.congress.gov/member/tony-cardenas/C001097,California,29,Democratic,"House: 2013-Present"
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,,Democratic,"Senate: 2007-Present | House: 1987-2007"
"Representative Carney, John C., Jr.",https://www.congress.gov/member/john-carney/C001083,Delaware,,Democratic,"House: 2011-2017"
"Senator Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,,Democratic,"Senate: 2001-Present | House: 1983-1993"
"Representative Carson, Andre",https://www.congress.gov/member/andre-carson/C001072,Indiana,7,Democratic,"House: 2008-Present"
